Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,S,Color,Onyx Black,ST-CL-OB-S,220,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/classic-onyx-front.jpg,1,Classic Sweat Tee in Onyx Black,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,M,Color,Onyx Black,ST-CL-OB-M,230,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,,2,,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,L,Color,Onyx Black,ST-CL-OB-L,240,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,,3,,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,XL,Color,Onyx Black,ST-CL-OB-XL,250,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,,4,,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active

coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,S,Color,Steel Grey,ST-CC-SG-S,210,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/coolcore-steel-front.jpg,1,CoolCore Performance Tee in Steel Grey,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active
coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,M,Color,Steel Grey,ST-CC-SG-M,220,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,,2,,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active
coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,L,Color,Steel Grey,ST-CC-SG-L,230,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,,3,,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active
coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,XL,Color,Steel Grey,ST-CC-SG-XL,240,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,,4,,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active

everyday-fresh-tee,Everyday Fresh Tee,"<p>Daily essential fit with stain-resistant weave and stretch that moves with you from commute to night out.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,everyday,anti-stain",TRUE,Size,S,Color,Cloud White,ST-EF-CW-S,220,shopify,30,deny,manual,36.00,46.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/everyday-cloud-front.jpg,1,Everyday Fresh Tee in Cloud White,Everyday Fresh Tee | Sweat Tee's,Men's daily anti-stain tee with breathable comfort and clean fit,active
everyday-fresh-tee,Everyday Fresh Tee,"<p>Daily essential fit with stain-resistant weave and stretch that moves with you from commute to night out.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,everyday,anti-stain",TRUE,Size,M,Color,Cloud White,ST-EF-CW-M,230,shopify,30,deny,manual,36.00,46.00,TRUE,TRUE,,2,,Everyday Fresh Tee | Sweat Tee's,Men's daily anti-stain tee with breathable comfort and clean fit,active
everyday-fresh-tee,Everyday Fresh Tee,"<p>Daily essential fit with stain-resistant weave and stretch that moves with you from commute to night out.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,everyday,anti-stain",TRUE,Size,L,Color,Cloud White,ST-EF-CW-L,240,shopify,30,deny,manual,36.00,46.00,TRUE,TRUE,,3,,Everyday Fresh Tee | Sweat Tee's,Men's daily anti-stain tee with breathable comfort and clean fit,active
everyday-fresh-tee,Everyday Fresh Tee,"<p>Daily essential fit with stain-resistant weave and stretch that moves with you from commute to night out.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,everyday,anti-stain",TRUE,Size,XL,Color,Cloud White,ST-EF-CW-XL,250,shopify,30,deny,manual,36.00,46.00,TRUE,TRUE,,4,,Everyday Fresh Tee | Sweat Tee's,Men's daily anti-stain tee with breathable comfort and clean fit,active

night-shift-tee,Night Shift Tee,"<p>Darker palette, soft structured fit, and moisture-aware knit for nights out and late shifts when looking clean matters.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,nightwear,anti-sweat",TRUE,Size,S,Color,Midnight Navy,ST-NS-MN-S,225,shopify,18,deny,manual,42.00,52.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/nightshift-navy-front.jpg,1,Night Shift Tee in Midnight Navy,Night Shift Tee | Sweat Tee's,Men's anti-sweat night-ready tee in moisture-managing fabric,active
night-shift-tee,Night Shift Tee,"<p>Darker palette, soft structured fit, and moisture-aware knit for nights out and late shifts when looking clean matters.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,nightwear,anti-sweat",TRUE,Size,M,Color,Midnight Navy,ST-NS-MN-M,235,shopify,18,deny,manual,42.00,52.00,TRUE,TRUE,,2,,Night Shift Tee | Sweat Tee's,Men's anti-sweat night-ready tee in moisture-managing fabric,active
night-shift-tee,Night Shift Tee,"<p>Darker palette, soft structured fit, and moisture-aware knit for nights out and late shifts when looking clean matters.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,nightwear,anti-sweat",TRUE,Size,L,Color,Midnight Navy,ST-NS-MN-L,245,shopify,18,deny,manual,42.00,52.00,TRUE,TRUE,,3,,Night Shift Tee | Sweat Tee's,Men's anti-sweat night-ready tee in moisture-managing fabric,active
night-shift-tee,Night Shift Tee,"<p>Darker palette, soft structured fit, and moisture-aware knit for nights out and late shifts when looking clean matters.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,nightwear,anti-sweat",TRUE,Size,XL,Color,Midnight Navy,ST-NS-MN-XL,255,shopify,18,deny,manual,42.00,52.00,TRUE,TRUE,,4,,Night Shift Tee | Sweat Tee's,Men's anti-sweat night-ready tee in moisture-managing fabric,active

starter-2-pack,Starter 2-Pack,"<p>Two best-selling anti-sweat tees bundled for savings. Perfect if you're just switching to sweat-resistant daily wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,bundle,bestseller",TRUE,Size,M,Color,Mixed Core,ST-B2-MX-M,460,shopify,15,deny,manual,72.00,88.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/starter-2pack.jpg,1,Starter 2-Pack mixed core colors,Starter 2-Pack | Sweat Tee's,Bundle two anti-sweat tees and save on your everyday rotation,active
starter-2-pack,Starter 2-Pack,"<p>Two best-selling anti-sweat tees bundled for savings. Perfect if you're just switching to sweat-resistant daily wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,bundle,bestseller",TRUE,Size,L,Color,Mixed Core,ST-B2-MX-L,480,shopify,15,deny,manual,72.00,88.00,TRUE,TRUE,,2,,Starter 2-Pack | Sweat Tee's,Bundle two anti-sweat tees and save on your everyday rotation,active

pro-3-pack,Pro 3-Pack,"<p>Three anti-sweat tees across core shades for a full weekly rotation with better value per tee.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,bundle,value",TRUE,Size,M,Color,Mixed Core,ST-B3-MX-M,690,shopify,12,deny,manual,99.00,129.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/pro-3pack.jpg,1,Pro 3-Pack mixed core colors,Pro 3-Pack | Sweat Tee's,Three-pack of sweat-resistant men's tees for full week coverage,active
pro-3-pack,Pro 3-Pack,"<p>Three anti-sweat tees across core shades for a full weekly rotation with better value per tee.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,bundle,value",TRUE,Size,L,Color,Mixed Core,ST-B3-MX-L,720,shopify,12,deny,manual,99.00,129.00,TRUE,TRUE,,2,,Pro 3-Pack | Sweat Tee's,Three-pack of sweat-resistant men's tees for full week coverage,active

commute-fit-tee,Commute Fit Tee,"<p>Tailored athletic cut with stretch and sweat-diffusing underarm zone for meetings, trains, and all-day movement.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,commute,athletic-fit,new-drop",TRUE,Size,S,Color,Graphite,ST-CF-GR-S,215,shopify,18,deny,manual,46.00,56.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/commute-graphite-front.jpg,1,Commute Fit Tee in Graphite,Commute Fit Tee | Sweat Tee's,Athletic fit anti-sweat tee for commute and office-ready comfort,active
commute-fit-tee,Commute Fit Tee,"<p>Tailored athletic cut with stretch and sweat-diffusing underarm zone for meetings, trains, and all-day movement.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,commute,athletic-fit,new-drop",TRUE,Size,M,Color,Graphite,ST-CF-GR-M,225,shopify,18,deny,manual,46.00,56.00,TRUE,TRUE,,2,,Commute Fit Tee | Sweat Tee's,Athletic fit anti-sweat tee for commute and office-ready comfort,active
commute-fit-tee,Commute Fit Tee,"<p>Tailored athletic cut with stretch and sweat-diffusing underarm zone for meetings, trains, and all-day movement.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,commute,athletic-fit,new-drop",TRUE,Size,L,Color,Graphite,ST-CF-GR-L,235,shopify,18,deny,manual,46.00,56.00,TRUE,TRUE,,3,,Commute Fit Tee | Sweat Tee's,Athletic fit anti-sweat tee for commute and office-ready comfort,active

core-blackout-tee,Core Blackout Tee,"<p>All-black everything: deep black dye, sweat-resistant build, and clean neckline for minimal style with maximum confidence.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,black,bestseller,minimal",TRUE,Size,S,Color,Blackout,ST-CB-BO-S,225,shopify,22,deny,manual,41.00,51.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/blackout-front.jpg,1,Core Blackout Tee,Core Blackout Tee | Sweat Tee's,Minimal all-black anti-sweat tee for confident daily wear,active
core-blackout-tee,Core Blackout Tee,"<p>All-black everything: deep black dye, sweat-resistant build, and clean neckline for minimal style with maximum confidence.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,black,bestseller,minimal",TRUE,Size,M,Color,Blackout,ST-CB-BO-M,235,shopify,22,deny,manual,41.00,51.00,TRUE,TRUE,,2,,Core Blackout Tee | Sweat Tee's,Minimal all-black anti-sweat tee for confident daily wear,active
core-blackout-tee,Core Blackout Tee,"<p>All-black everything: deep black dye, sweat-resistant build, and clean neckline for minimal style with maximum confidence.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,black,bestseller,minimal",TRUE,Size,L,Color,Blackout,ST-CB-BO-L,245,shopify,22,deny,manual,41.00,51.00,TRUE,TRUE,,3,,Core Blackout Tee | Sweat Tee's,Minimal all-black anti-sweat tee for confident daily wear,active
